date,metro_no,pass,changePass,allPass,allChange
2019/9/13,3,369078,193357,,
2019/9/13,4,279203,171524,,
2019/9/13,7,287480,303649,,
2019/9/13,10,40934,31768,,
2019/9/14,1,375394,232924,2059651,1256387
2019/9/14,2,540685,220891,,
2019/9/14,3,466703,235955,,
2019/9/14,4,320472,206679,,
2019/9/14,7,315139,324763,,
2019/9/14,10,41258,35175,,
2019/9/15,1,368281,239180,2108617,1286256
2019/9/15,2,558416,231303,,
2019/9/15,3,446578,224190,,
2019/9/15,4,314153,211991,,
2019/9/15,7,381540,346193,,
2019/9/15,10,39649,33399,,
2019/9/16,1,655023,328244,2507387,1504432
2019/9/16,2,566365,258160,,
2019/9/16,3,468279,255878,,
2019/9/16,4,381927,227487,,
2019/9/16,7,394402,398852,,
2019/9/16,10,41391,35811,,
2019/9/17,1,657621,325026,2475552,1485331
2019/9/17,2,549555,253500,,
2019/9/17,3,468730,255287,,
2019/9/17,4,378772,222832,,
2019/9/17,7,380663,392010,,
2019/9/17,10,40211,36676,,
2019/9/18,1,654749,320639,2451415,1470849
2019/9/18,2,544772,251198,,
2019/9/18,3,465370,253060,,
2019/9/18,4,372980,220266,,
2019/9/18,7,371963,389271,,
2019/9/18,10,41581,36415,,
2019/9/19,1,651313,320685,2428215,1456929
2019/9/19,2,538622,248197,,
2019/9/19,3,457984,250352,,
2019/9/19,4,368415,218452,,
2019/9/19,7,371280,384391,,
2019/9/19,10,40601,34852,,
2019/9/20,1,703584,344749,2732984,1639790
2019/9/20,2,619308,283707,,
2019/9/20,3,513765,283223,,
2019/9/20,4,423059,249017,,
2019/9/20,7,426371,440514,,
2019/9/20,10,46897,38580,,
2019/9/21,1,469530,272156,2298275,1401947
2019/9/21,2,572922,248170,,
2019/9/21,3,497845,255071,,
2019/9/21,4,369143,221079,,
2019/9/21,7,345121,369285,,
2019/9/21,10,43714,36186,,
2019/9/22,1,386552,235110,2057311,1254959
2019/9/22,2,525477,225309,,
2019/9/22,3,442647,220351,,
2019/9/22,4,328256,201472,,
2019/9/22,7,332501,338779,,
2019/9/22,10,41878,33938,,
2019/9/23,1,653276,323597,2447280,1468368
2019/9/23,2,548074,251083,,
2019/9/23,3,459877,249961,,
2019/9/23,4,378442,217296,,
2019/9/23,7,366361,390590,,
2019/9/23,10,41250,35841,,
2019/9/24,1,652658,320529,2429264,1457558
2019/9/24,2,539112,247343,,
2019/9/24,3,456848,249528,,
2019/9/24,4,373337,218939,,
2019/9/24,7,364903,385801,,
2019/9/24,10,42406,35418,,
2019/9/25,1,661914,329205,2502927,1501756
2019/9/25,2,553715,255514,,
2019/9/25,3,475906,258871,,
2019/9/25,4,389360,226155,,
2019/9/25,7,379073,395843,,
2019/9/25,10,42959,36168,,
2019/9/26,1,657139,324349,2469213,1481527
2019/9/26,2,544960,251736,,
2019/9/26,3,465288,254854,,
2019/9/26,4,380614,221659,,
2019/9/26,7,377769,394117,,
2019/9/26,10,43443,34812,,
2019/9/27,1,681080,337792,2629225,1577535
2019/9/27,2,597500,268970,,
2019/9/27,3,493331,272397,,
2019/9/27,4,406371,239537,,
2019/9/27,7,405163,423391,,
2019/9/27,10,45780,35448,,
2019/9/28,1,433636,248517,2090492,1275200
2019/9/28,2,518972,219767,,
2019/9/28,3,443225,225275,,
2019/9/28,4,331022,202228,,
2019/9/28,7,327222,348000,,
2019/9/28,10,36415,31413,,
