batch_date,batch_time,speed
2019-01-05,16:20,36.76758864
2019-01-05,16:30,36.65850473
2019-01-05,16:40,36.57790997
2019-01-05,16:50,36.36974417
2019-01-05,17:00,36.23369016
2019-01-05,17:10,35.82259439
2019-01-05,17:20,34.76297364
2019-01-05,17:30,33.92843388
2019-01-05,17:40,33.43497233
2019-01-05,17:50,32.49081476
2019-01-05,18:00,31.71270101
2019-01-05,18:10,31.48768553
2019-01-05,18:20,30.99930972
2019-01-05,18:30,30.75118638
2019-01-05,18:40,31.19243864
2019-01-05,18:50,31.97993627
2019-01-05,19:00,32.92774796
2019-01-05,19:10,33.95558485
2019-01-05,19:20,34.85621676
2019-01-05,19:30,35.70919781
2019-01-05,19:40,36.48825774
2019-01-05,19:50,37.09145908
2019-01-05,20:00,37.52958512
2019-01-05,20:10,37.73835797
2019-01-05,20:20,37.67546446
2019-01-05,20:30,37.71169462
2019-01-05,20:40,37.90239411
2019-01-05,20:50,38.12262469
2019-01-05,21:00,38.41009139
2019-01-05,21:10,38.75848891
2019-01-05,21:20,39.02232996
2019-01-05,21:30,39.37085238
2019-01-05,21:40,39.81078519
2019-01-05,21:50,40.24083665
2019-01-05,22:00,40.76972603
2019-01-05,22:10,41.23653611
2019-01-05,22:20,41.52846064
2019-01-05,22:30,42.01885549
2019-01-05,22:40,42.64879356
2019-01-05,22:50,43.2126911
2019-01-05,23:00,43.73887758
2019-01-05,23:10,44.21328038
2019-01-05,23:20,44.83878736
2019-01-05,23:30,45.29952403
2019-01-05,23:40,45.56118166
2019-01-05,23:50,45.81243675
2019-01-06,0:00,46.11985099
2019-01-06,0:10,46.32062017
2019-01-06,0:20,46.46715965
2019-01-06,0:30,46.69930953
2019-01-06,0:40,46.93680065
2019-01-06,0:50,47.19626558
2019-01-06,1:00,47.47342574
2019-01-06,1:10,47.69761943
2019-01-06,1:20,47.97765308
2019-01-06,1:30,48.20704228
2019-01-06,1:40,48.38304306
2019-01-06,1:50,48.59415237
2019-01-06,2:00,48.76690973
2019-01-06,2:10,48.95149451
2019-01-06,2:20,49.18208313
2019-01-06,2:30,49.38614644
2019-01-06,2:40,49.54387724
2019-01-06,2:50,49.65075062
2019-01-06,3:00,49.78346859
2019-01-06,3:10,49.9641538
2019-01-06,3:20,50.2096627
2019-01-06,3:30,50.41319609
2019-01-06,3:40,50.62547366
2019-01-06,3:50,50.82021508
2019-01-06,4:00,51.06574749
2019-01-06,4:10,51.2487931
2019-01-06,4:20,51.47357581
2019-01-06,4:30,51.59019412
2019-01-06,4:40,51.63076604
2019-01-06,4:50,51.71548934
2019-01-06,5:00,51.80460842
2019-01-06,5:10,51.67122846
2019-01-06,5:20,51.64176803
2019-01-06,5:30,51.61890714
2019-01-06,5:40,51.54527452
2019-01-06,5:50,51.55051838
2019-01-06,6:00,51.4740991
2019-01-06,6:10,51.27657008
2019-01-06,6:20,51.00377037
2019-01-06,6:30,50.57217184
2019-01-06,6:40,49.95513819
2019-01-06,6:50,49.16796024
2019-01-06,7:00,48.30092896
2019-01-06,7:10,47.01192869
2019-01-06,7:20,45.24147386
2019-01-06,7:30,43.44226912
2019-01-06,7:40,41.36385991
